System_ID;HIP;alpha;delta;parallax;x;y;z;name;number_components;Maximum_Orbits;HabitableOrbit;GasGiants;PlanetoidBelts
1;0;0;0;0;26000;0;50;"Beers Hollow";1;12;4;3;0
143;147;0.46604367;21.02624872;0.13;25088.4007982301;204.073464921985;233.624985544153;"Pumpkin Run Road";1;10;1;5;0
280;286;0.88130145;78.71780714;0.11;29647.4015466523;456.060795198067;874.642300680913;Newlife;1;5;2;4;0
719;741;2.27351039;-36.65060208;0.11;29627.5691552346;1176.24651716744;-407.228911592771;"Perti East";1;3;0;3;0
945;970;3.00581153;-54.75088612;0.15;21714.0850649923;1140.19550528863;-608.343178502768;"Herons Creek";1;1;1;1;0
1049;1077;3.35081788;65.6134623;0.12;27133.5322061287;1588.6566712097;729.038469270961;"Ouray Valley";1;6;2;5;0
1130;1162;3.61768272;56.25294128;0.1;32551.0061745227;2058.02162918363;625.032680263856;Lombard;1;7;2;2;2
1147;1179;3.6730281;3.36392861;0.11;29590.0027489099;1899.51236817847;37.3769845181786;"Steve Murray's";1;11;8;4;0
1515;1561;4.85380921;-37.75893787;0.11;29544.5760070493;2508.8719538952;-419.543753691567;"Jones-Delaware Co";1;16;7;5;0
1577;1627;5.08399537;-57.16335692;0.09;36097.4266832438;3211.44622371931;-635.148409587074;Phalzgraff;1;11;6;3;0
1847;1904;6.01520523;-37.41058116;0.1;32436.4202324532;3417.90849843875;-415.673123584327;"Stonehouse Shore";1;19;10;3;0
1966;2024;6.4239597;54.9942118;0.11;29464.7375167267;3317.47690086165;611.046797166731;Halde;1;5;2;4;0
2046;2109;6.69671531;53.261157;0.14;23138.1942905188;2716.76835234917;591.790632741543;"Edson Granger";1;1;0;1;0
2144;2212;6.98942616;2.05375139;0.12;26978.0152416875;3307.43006264307;22.8194598660694;"West End Drain Spoil Bank";1;16;10;4;0
2420;2494;7.91650208;58.05890811;0.1;32305.1641702764;4492.19589193163;645.098978354901;"Rouge Cove";1;13;4;5;0
2480;2554;8.11450037;-38.27767604;0.12;26907.8729387366;3836.50542979007;-425.307511130248;Eustis;1;8;4;2;0
2813;2890;9.15953864;53.4721453;0.11;29272.8281090306;4719.95173878973;594.134947183643;"Number Nine";1;18;12;2;1
3518;3615;11.5853846;-58.26745771;0.14;22822.4987515694;4678.71948728854;-647.416196130362;"Field Brk";1;11;5;1;2
3590;3690;11.8292558;47.80575671;0.1;31923.3289011024;6686.14446987506;531.17507402438;"Big Hungry";1;7;2;3;0
3712;3819;12.26240999;58.42930739;0.13;24516.8231525046;5328.68493162516;649.214525906341;Plumbridge;1;3;1;3;0
3811;3922;12.58640031;-27.43698365;0.12;26526.8241775997;5922.8370778465;-304.855373584033;Lockhoma;1;4;1;4;0
4016;4132;13.22530292;29.07528951;0.13;24423.8132824337;5739.93426238771;323.058772010275;"de Veggio";1;18;11;4;0
4323;4449;14.2310721;64.53228799;0.14;22582.2042044856;5727.20861965369;717.025421394086;Felbridge;1;5;1;5;0
4973;5119;16.39858925;24.19772291;0.1;31289.2113265334;9208.07854894469;268.863587620025;Burrough;1;7;6;4;0
5015;5162;16.51843812;-79.23608522;0.13;24053.7552477787;7133.4675349141;-880.400946008488;"Von Heyl";1;7;4;6;0
5126;5278;16.87483012;78.33537912;1.18;2645.05034425204;802.358685769364;870.39310046294;"Monaca E Rochester";1;3;1;1;1
5215;5368;17.16207228;-17.06362783;0.13;23972.1051904333;7403.22047020878;-189.595864588182;Parkton;1;9;5;3;0
5462;5617;18.026216;-51.75390745;0.15;20676.6962886916;6728.72696616584;-575.043415536068;"Brae Marie";1;10;1;4;0
5536;5693;18.31191362;63.94632972;0.14;22117.3794584434;7319.72616956056;710.514773956152;Nedham;1;18;12;6;0
5956;6123;19.65203385;-27.51633385;0.15;20477.4646199195;7312.65880100688;-305.737042472041;"Buffalo Marsh";1;9;5;4;0
6011;6181;19.82677375;59.04664013;0.15;20455.0673733413;7375.07659296273;656.073778566148;"Tom Adams";1;6;2;2;2
6185;6359;20.41941392;51.09645852;0.14;21833.2395498626;8128.13115448066;567.738427432262;"Kilroy Bay";1;8;3;3;0
6347;6526;20.95843874;60.90128814;0.13;23429.3306260056;8974.18336167866;676.680978656652;Houlden;1;9;1;5;0
6544;6726;21.64473263;-65.7749493;0.13;23320.1589014972;9254.17145943575;-730.832769269167;"Bucks Industrial Park";1;17;8;6;0
6929;7120;22.93682337;15.09408083;0.13;23105.5539908878;9777.67228771166;167.71200905451;"Hay Crick";2;NULL;NULL;NULL;NULL
11409;11751;37.90272994;-3.97957947;4.27;602.712221551199;469.244785222973;-44.2175496224491;"Abington Green";1;4;1;1;3
18099;18688;60.04352861;40.01371803;4.93;330.355701771374;573.198091099369;444.596866555403;"San Elizario Lateral Wasteway";1;10;3;3;0
35456;36466;112.5532548;-6.67707629;0.54;-2316.59359983438;5578.08157821364;-74.1897364813658;Edlingham;1;9;5;6;0
